date,dji
2024-01-03,1000000.0
2024-01-04,1000271.1297249285
2024-01-05,1000959.5988532403
2024-01-08,1006754.4488286475
2024-01-09,1002537.2231995624
2024-01-10,1007094.2480528075
2024-01-11,1007502.7167761987
2024-01-12,1004349.1378586115
2024-01-16,998154.6898398049
2024-01-17,995631.3466454062
2024-01-18,1001026.3898555321
2024-01-19,1011584.4819037607
2024-01-22,1015271.553952154
2024-01-23,1012697.1782575666
2024-01-24,1010050.6891526926
2024-01-25,1016535.78239241
2024-01-26,1018146.8022398781
2024-01-29,1024131.7978499349
2024-01-30,1027708.0385789004
2024-01-31,1019238.7307664091
2024-02-01,1029111.4845145583
2024-02-02,1032707.0320176237
2024-02-05,1025378.7023739713
2024-02-06,1029152.0809206389
2024-02-07,1033319.8394636515
2024-02-08,1034628.1082210436
2024-02-09,1033168.411738143
2024-02-12,1036526.3293783666
2024-02-13,1022510.1331864765
2024-02-14,1026558.1897300693
2024-02-15,1035878.2479342534
2024-02-16,1032000.8215293281
2024-02-20,1030285.9625454843
2024-02-21,1031580.0382148895
2024-02-22,1043785.9895227876
2024-02-23,1045453.6773612628
2024-02-26,1043789.2247119611
2024-02-27,1041202.5344263263
2024-02-28,1040577.621111133
2024-02-29,1041843.2062436229
2024-03-01,1044274.0856442236
2024-03-04,1041667.8798626066
2024-03-05,1030857.4430588442
2024-03-06,1032884.1325346383
2024-03-07,1036365.3004462788
2024-03-08,1034530.9481848972
2024-03-11,1035785.7841404557
2024-03-12,1042086.2628754006
2024-03-13,1043096.9985897706
2024-03-14,1039419.2146651333
2024-03-15,1034319.3041963847
2024-03-18,1036340.6712641836
2024-03-19,1044898.7902375348
2024-03-20,1055621.8769336126
2024-03-21,1062815.0591585648
2024-03-22,1054653.9292050858
2024-03-25,1050318.9844344615
2024-03-26,1049482.4271307557
2024-03-27,1062246.1876687321
2024-03-28,1063509.6855824003
2024-04-01,1057083.8693572169
2024-04-02,1046487.7899264349
2024-04-03,1045336.3756634877
2024-04-04,1031172.404379027
2024-04-05,1039375.9048745848
2024-04-08,1039075.6584470946
2024-04-09,1038831.7669277883
2024-04-10,1027553.1669423361
2024-04-11,1027488.1500760426
