date,ensemble
2024-01-03,1000000.0
2024-01-04,1000048.0875179862
2024-01-05,1000566.5157922404
2024-01-08,1006321.0144928286
2024-01-09,1003601.1869175532
2024-01-10,1007805.3923852808
2024-01-11,1009631.7871861842
2024-01-12,1003242.2459768984
2024-01-16,997413.7741726232
2024-01-17,995527.3739924892
2024-01-18,997380.446398373
2024-01-19,1004282.3697477384
2024-01-22,1009040.1141779256
2024-01-23,1011212.6331041456
2024-01-24,1007605.058517018
2024-01-25,1006881.084481217
2024-01-26,1014223.4968408208
2024-01-29,1019610.7551503148
2024-01-30,1024053.9603820386
2024-01-31,1014480.8015818144
2024-02-01,1025149.7623072286
2024-02-02,1027574.0488868224
2024-02-05,1019674.3687915388
2024-02-06,1020914.7426070068
2024-02-07,1023941.131239659
2024-02-08,1028521.2811902204
2024-02-09,1028115.988491372
2024-02-12,1028730.704175553
2024-02-13,1012190.0372128418
2024-02-14,1019068.9026444138
2024-02-15,1028838.5640337416
2024-02-16,1026597.0338562249
2024-02-20,1023124.5097732514
2024-02-21,1023197.3674127052
2024-02-22,1033806.1021497468
2024-02-23,1035831.6180351266
2024-02-26,1034348.200117833
2024-02-27,1035308.6795471734
2024-02-28,1035380.481624604
2024-02-29,1038502.8235574692
2024-03-01,1041340.3566459093
2024-03-04,1040048.1997623568
2024-03-05,1028703.1145821236
2024-03-06,1033019.7834927645
2024-03-07,1041297.2963239106
2024-03-08,1038982.796321206
2024-03-11,1038389.7975631952
2024-03-12,1046213.706035718
2024-03-13,1051190.8410520067
2024-03-14,1046681.6947957658
2024-03-15,1046635.090323617
2024-03-18,1049771.243829957
2024-03-19,1057035.4224711657
2024-03-20,1065811.156665223
2024-03-21,1072506.9019074524
2024-03-22,1062900.227332776
2024-03-25,1060503.6482578248
2024-03-26,1059536.7178555117
2024-03-27,1078171.8151971635
2024-03-28,1079312.5847658091
2024-04-01,1073958.4605894708
2024-04-02,1068400.153265191
2024-04-03,1071277.399686532
2024-04-04,1056077.200860696
2024-04-05,1066274.0039529428
2024-04-08,1062275.106583852
2024-04-09,1060688.6975375223
2024-04-10,1053867.077007821
2024-04-11,1054442.4469631128
2024-04-12,1043065.4648474244
2024-04-15,1038938.9895831425
2024-04-16,1033550.72444592
2024-04-17,1035055.0426792308
2024-04-18,1032499.1965969095
2024-04-19,1034886.4696068622
2024-04-22,1042274.8487457936
2024-04-23,1053388.9453189175
2024-04-24,1054268.74484575
2024-04-25,1038616.8672218143
2024-04-26,1043297.631587083
2024-04-29,1044758.7212197334
2024-04-30,1021126.0179542648
2024-05-01,1022632.0149536696
2024-05-02,1028995.4859046928
2024-05-03,1032193.1181040908
2024-05-06,1041630.3422702668
2024-05-07,1040671.1211261094
2024-05-08,1044132.6931597628
2024-05-09,1052288.3520742487
2024-05-10,1059416.2541225408
2024-05-13,1056949.2106418775
2024-05-14,1059582.3988138784
2024-05-15,1071280.6905895818
2024-05-16,1065795.7962131246
2024-05-17,1070617.2654910025
2024-05-20,1069977.1786937308
2024-05-21,1067488.0614490218
2024-05-22,1061762.9366741444
2024-05-23,1045169.8584804568
2024-05-24,1042111.7611277176
2024-05-28,1034164.8425241142
2024-05-29,1018983.7672517447
2024-05-30,998481.9930953766
2024-05-31,997525.9845791222
2024-06-03,997729.2995514618
2024-06-04,999352.1175551316
2024-06-05,997949.330710584
2024-06-06,997521.1481954778
2024-06-07,994205.2066686716
2024-06-10,994656.8618616344
