exp_key,learning_rate,gamma,net_dimension,batch_size,mean_sharpe,std_sharpe,min_sharpe,mean_return,worst_drawdown,consistency
lr1e-05_g0.9_net32x16_bs256,1e-05,0.9,"[32, 16]",256,2.4804086348353196,2.1022408502558267,-0.4900363291099984,0.026777124207749543,-0.04432390883353817,1.126311245451277
lr1e-05_g0.9_net32x16_bs512,1e-05,0.9,"[32, 16]",512,7.128212687147801,3.970628106992607,2.5152815068869208,0.055338153773230404,-0.032054981393339864,1.7511333631541566
lr1e-05_g0.9_net32x16_bs1024,1e-05,0.9,"[32, 16]",1024,6.560875352310717,3.3876095668739183,2.1013001849759645,0.06754455762985057,-0.04331878612025753,1.8811954797427304
lr1e-05_g0.9_net64x32_bs256,1e-05,0.9,"[64, 32]",256,2.795102703935699,3.542469153152152,-0.8612503264022691,0.031614325636462236,-0.06959726799421075,0.767364824906437
lr1e-05_g0.9_net64x32_bs512,1e-05,0.9,"[64, 32]",512,3.098296183137743,2.6915037983697943,0.23717494830904606,0.03068388442663202,-0.04043942397933286,1.109902191409201
lr1e-05_g0.9_net64x32_bs1024,1e-05,0.9,"[64, 32]",1024,6.318745073857488,0.9762845520396493,5.334519221918322,0.06244334604184484,-0.03833106119747826,5.8708870826798885
lr1e-05_g0.9_net128x64_bs256,1e-05,0.9,"[128, 64]",256,2.6375064398489703,2.1020314711640187,-0.009116975494187446,0.03420314657553473,-0.05241841042777769,1.197760556280676
lr1e-05_g0.9_net128x64_bs512,1e-05,0.9,"[128, 64]",512,3.1141739995975914,2.639057133828863,0.136334323894298,0.03390008366241407,-0.0348104233057737,1.136951092087795
lr1e-05_g0.9_net128x64_bs1024,1e-05,0.9,"[128, 64]",1024,5.362429526253712,1.9334140214362672,2.808109553932883,0.05927065205176044,-0.050125967363081496,2.63715577335601
lr1e-05_g0.95_net32x16_bs256,1e-05,0.95,"[32, 16]",256,3.592187261005401,2.5858486894973733,0.5060371160645195,0.04482289627953229,-0.03811042038951732,1.3374496020762952
lr1e-05_g0.95_net32x16_bs512,1e-05,0.95,"[32, 16]",512,-0.15957200326993426,0.6428449315366533,-0.9596015062857639,-0.004050011276443295,-0.047176913252580006,-0.2148119970877942
lr1e-05_g0.95_net32x16_bs1024,1e-05,0.95,"[32, 16]",1024,2.430073265149107,0.829394085005071,1.7294787077224343,0.027669548110748437,-0.05860771221023445,2.614685529374601
lr1e-05_g0.95_net64x32_bs256,1e-05,0.95,"[64, 32]",256,2.196658429781113,1.5866261401457924,-0.027611430220225358,0.025169119455234146,-0.04631222640588594,1.3023979514459756
lr1e-05_g0.95_net64x32_bs512,1e-05,0.95,"[64, 32]",512,5.581547555055587,0.8880513889725331,4.759706416183636,0.05216338276049511,-0.03900213695172138,5.649045806068645
