learning_rate, gamma, net_dimension   , batch_size, total_return          , sharpe_ratio       , max_drawdown         , final_value       , exp_name
1e-05        , 0.985, "[256, 128]"    ,       1024, 0.025875814004342912  , 12.12988640085413  , -0.039220380400177834, 1025875.814004343 , exp_lr1e-05_g0.985_bs1024
1e-06        , 0.95 , "[256, 128]"    ,       2048, 0.03511926381614905   , 11.894108030911692 , -0.05286770488510861 , 1035119.263816149 , exp_lr1e-06_g0.95_bs2048
3e-06        , 0.95 , "[256, 128]"    ,       4096, 0.034298075129276295  , 11.690826224976611 , -0.05368298920941561 , 1034298.0751292764, exp_lr3e-06_g0.95_bs4096
3e-06        , 0.985, "[256, 128]"    ,       2048, 0.026731767178177268  , 10.906056956812495 , -0.04341570474709677 , 1026731.7671781773, exp_lr3e-06_g0.985_bs2048
3e-06        , 0.97 , "[256, 128]"    ,       4096, 0.025398639948190693  , 10.559820165816033 , -0.04081113142432713 , 1025398.6399481908, exp_lr3e-06_g0.97_bs4096
3e-06        , 0.95 , "[128, 64]"     ,       2048, 0.022251457595432678  , 9.689555618400103  , -0.041100995171868715, 1022251.4575954326, exp_lr3e-06_g0.95_bs2048
1e-06        , 0.95 , "[128, 128, 64]",       4096, 0.02275533305635613   , 9.639487281281887  , -0.03790746080331564 , 1022755.3330563561, exp_lr1e-06_g0.95_bs4096
1e-06        , 0.985, "[128, 64]"     ,       2048, 0.02751442313717689   , 9.592544930729423  , -0.042807633155958924, 1027514.4231371768, exp_lr1e-06_g0.985_bs2048
3e-06        , 0.95 , "[256, 128]"    ,       1024, 0.027985526329353583  , 9.54174215587608   , -0.04408561067733996 , 1027985.5263293537, exp_lr3e-06_g0.95_bs1024
1e-05        , 0.95 , "[128, 128, 64]",       4096, 0.021622531657458754  , 8.435028287212234  , -0.034661050868007526, 1021622.5316574589, exp_lr1e-05_g0.95_bs4096
1e-06        , 0.95 , "[256, 128]"    ,       1024, 0.019342113009361395  , 8.19149684943283   , -0.030855010373256886, 1019342.1130093614, exp_lr1e-06_g0.95_bs1024
1e-06        , 0.95 , "[128, 128, 64]",       1024, 0.0185862245440942    , 8.136689287884039  , -0.03525999945925662 , 1018586.2245440942, exp_lr1e-06_g0.95_bs1024
