date,ensemble,dji
2024-01-03,1000000.0,1000000.0
2024-01-04,1000048.0875179862,1000271.1297249285
2024-01-05,1000566.5157922404,1000959.5988532403
2024-01-08,1006321.0144928286,1006754.4488286475
2024-01-09,1003601.1869175532,1002537.2231995624
2024-01-10,1007805.3923852808,1007094.2480528075
2024-01-11,1009631.7871861842,1007502.7167761987
2024-01-12,1003242.2459768984,1004349.1378586115
2024-01-16,997413.7741726232,998154.6898398049
2024-01-17,995527.3739924892,995631.3466454062
2024-01-18,997380.446398373,1001026.3898555321
2024-01-19,1004282.3697477384,1011584.4819037607
2024-01-22,1009040.1141779256,1015271.553952154
2024-01-23,1011212.6331041456,1012697.1782575666
2024-01-24,1007605.058517018,1010050.6891526926
2024-01-25,1006881.084481217,1016535.78239241
2024-01-26,1014223.4968408208,1018146.8022398781
2024-01-29,1019610.7551503148,1024131.7978499349
2024-01-30,1024053.9603820386,1027708.0385789004
2024-01-31,1014480.8015818144,1019238.7307664091
2024-02-01,1025149.7623072286,1029111.4845145583
2024-02-02,1027574.0488868224,1032707.0320176237
2024-02-05,1019674.3687915388,1025378.7023739713
2024-02-06,1020914.7426070068,1029152.0809206389
2024-02-07,1023941.131239659,1033319.8394636515
2024-02-08,1028521.2811902204,1034628.1082210436
2024-02-09,1028115.988491372,1033168.411738143
2024-02-12,1028730.704175553,1036526.3293783666
2024-02-13,1012190.0372128418,1022510.1331864765
2024-02-14,1019068.9026444138,1026558.1897300693
2024-02-15,1028838.5640337416,1035878.2479342534
2024-02-16,1026597.0338562249,1032000.8215293281
2024-02-20,1023124.5097732514,1030285.9625454843
2024-02-21,1023197.3674127052,1031580.0382148895
2024-02-22,1033806.1021497468,1043785.9895227876
2024-02-23,1035831.6180351266,1045453.6773612628
2024-02-26,1034348.200117833,1043789.2247119611
2024-02-27,1035308.6795471734,1041202.5344263263
2024-02-28,1035380.481624604,1040577.621111133
2024-02-29,1038502.8235574692,1041843.2062436229
2024-03-01,1041340.3566459093,1044274.0856442236
2024-03-04,1040048.1997623568,1041667.8798626066
2024-03-05,1028703.1145821236,1030857.4430588442
2024-03-06,1033019.7834927645,1032884.1325346383
2024-03-07,1041297.2963239106,1036365.3004462788
2024-03-08,1038982.796321206,1034530.9481848972
2024-03-11,1038389.7975631952,1035785.7841404557
2024-03-12,1046213.706035718,1042086.2628754006
2024-03-13,1051190.8410520067,1043096.9985897706
2024-03-14,1046681.6947957658,1039419.2146651333
2024-03-15,1046635.090323617,1034319.3041963847
2024-03-18,1049771.243829957,1036340.6712641836
2024-03-19,1057035.4224711657,1044898.7902375348
2024-03-20,1065811.156665223,1055621.8769336126
2024-03-21,1072506.9019074524,1062815.0591585648
2024-03-22,1062900.227332776,1054653.9292050858
2024-03-25,1060503.6482578248,1050318.9844344615
2024-03-26,1059536.7178555117,1049482.4271307557
2024-03-27,1078171.8151971635,1062246.1876687321
2024-03-28,1079312.5847658091,1063509.6855824003
2024-04-01,1073958.4605894708,1057083.8693572169
2024-04-02,1068400.153265191,1046487.7899264349
2024-04-03,1071277.399686532,1045336.3756634877
