account_rewards,date
-1305.3238572884584,2025-01-03
-581.962496894761,2025-01-06
13397.144328327267,2025-01-07
-11391.818536483916,2025-01-08
24981.515915683703,2025-01-10
5849.716515213251,2025-01-13
5698.523330119904,2025-01-14
-29414.886354850605,2025-01-15
1665.2257293185685,2025-01-16
21817.25872621918,2025-01-17
-5477.5088252904825,2025-01-21
14222.075192810036,2025-01-22
1036.7196240387857,2025-01-23
14082.371515491512,2025-01-24
-1117.4861441575922,2025-01-27
-5047.606854675105,2025-01-28
1626.058185028145,2025-01-29
-1088.4714489919133,2025-01-30
-691.2403642423451,2025-01-31
-454.73689537425525,2025-02-03
1191.9188702851534,2025-02-04
-2963.1825635356363,2025-02-05
-5432.6906978795305,2025-02-06
1100.6555383377708,2025-02-07
1531.3814107971266,2025-02-10
1036.822974510258,2025-02-11
7163.601352367317,2025-02-12
-8073.981683591846,2025-02-13
7404.201043800451,2025-02-14
2387.227157539455,2025-02-18
-10050.464502298273,2025-02-19
-15656.513174068416,2025-02-20
57.1688124560751,2025-02-21
730.7892326621804,2025-02-24
-3989.407780695008,2025-02-25
-1746.571678039385,2025-02-26
14123.75590535719,2025-02-27
-13885.913041358814,2025-02-28
-18383.916382614174,2025-03-03
14166.594317909214,2025-03-04
-5383.7003056393005,2025-03-05
7126.745089912554,2025-03-06
-22152.15904161078,2025-03-07
-8482.606826103176,2025-03-10
-1057.2837666549021,2025-03-11
-9556.482156372047,2025-03-12
13622.276778739993,2025-03-13
8312.99178345874,2025-03-14
-3161.5431827984285,2025-03-17
3843.4464424056932,2025-03-18
349.65409011847805,2025-03-19
195.35835659783334,2025-03-20
9012.462596290628,2025-03-21
-6580.346964139957,2025-03-24
783.0076963882893,2025-03-25
-1793.0454238586826,2025-03-26
-11775.084057945176,2025-03-27
11363.093936405145,2025-03-28
-4382.040387767716,2025-03-31
374.03261686326005,2025-04-01
-9718.398739429424,2025-04-02
-1027.8918429793557,2025-04-03
