date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2024-01-03,100,54,0,0,0,0,0,0,100,0,100,100,100,0,15,0,100,0,0,0,43,17,100,80,100,0,35,0
2024-01-04,57,-54,93,0,100,64,0,0,-29,67,100,-93,100,67,100,0,-100,0,100,0,100,3,100,-80,-80,9,100,0
2024-01-05,47,0,65,65,100,100,0,100,-71,100,-29,51,37,100,100,0,0,46,-100,0,100,-16,100,0,63,89,-29,82
2024-01-08,100,33,54,100,-100,57,100,-94,68,80,-100,-38,71,100,-100,13,0,74,67,26,19,77,100,100,83,98,80,87
2024-01-09,4,96,85,-19,37,77,-41,-6,-2,19,90,25,-36,-52,-100,100,8,-58,23,-26,-18,46,-22,16,61,-67,-97,-100
2024-01-10,-43,100,74,0,-50,0,-59,25,-66,-15,-24,76,-44,-95,-15,100,-8,0,81,79,69,88,-71,-13,100,-15,76,1
2024-01-11,-9,72,100,0,0,0,100,-25,0,100,-17,100,-78,75,69,-92,2,-62,100,-79,-100,94,46,0,-33,-56,0,-70
2024-01-12,11,-36,-100,-59,77,-100,-100,0,79,-100,-66,-65,29,-100,-69,96,100,80,-56,26,37,74,-5,42,29,100,-100,0
2024-01-16,-56,-100,-100,-66,78,97,0,0,100,48,27,30,-63,100,0,72,-100,-41,1,-26,-100,-100,100,83,100,-100,-55,100
2024-01-17,-100,100,-100,-1,22,-24,72,0,29,-30,-81,-12,-39,-100,0,-7,95,100,-34,100,100,-70,1,-95,-100,17,100,-7
2024-01-18,-100,-68,84,-20,-28,-95,39,0,-91,100,0,100,100,100,0,-8,-28,-11,100,100,-42,-61,100,-100,-100,-75,-58,42
2024-01-19,100,100,-12,0,-81,-93,-100,0,-100,-100,60,-10,61,-28,56,-95,100,-100,-34,100,100,100,-45,-33,100,0,97,47
2024-01-22,-55,-100,-35,67,0,100,100,94,1,-77,-21,-46,60,-42,-56,-100,49,-28,-46,-9,-3,100,-30,0,32,92,100,100
